date,Overseas acquired,Locally Acquired—close contact with confirmed case,Locally Acquired—no known contact,Interstate acquired,Under investigation,Total cases
2020-03-28,477,87,22,0,39,625
2020-03-29,477,87,22,0,39,625
2020-03-30,548,97,20,3,21,689
2020-03-31,599,107,27,5,5,743
2020-01-04,617,115,27,7,15,781
2020-02-04,654,125,30,9,17,835
2020-03-04,669,124,31,11,38,873
2020-04-04,707,136,31,12,15,901
2020-05-04,707,140,32,12,16,907
2020-06-04,724,149,33,13,2,921
2020-07-04,724,149,33,13,15,934
2020-08-04,724,149,33,13,24,943
2020-09-04,737,151,32,12,21,953
2020-10-04,744,153,33,12,23,965
2020-11-04,745,154,36,13,26,974
2020-12-04,748,156,39,14,26,983
2020-04-13,752,155,39,13,28,987
2020-04-14,756,155,38,15,34,998
2020-04-15,761,160,39,18,21,999
2020-04-16,761,160,39,18,23,1001
2020-04-17,769,171,36,17,14,1007
2020-04-18,774,168,36,16,20,1014
2020-04-19,778,169,40,15,17,1019
2020-04-20,784,169,41,17,8,1019
2020-04-21,785,169,41,17,12,1024
2020-04-22,785,170,42,17,10,1024
2020-04-23,788,171,41,17,9,1026
2020-04-24,793,171,41,18,3,1026
2020-04-25,793,171,41,18,3,1026
2020-04-26,794,172,43,18,3,1030
2020-04-27,795,172,43,18,5,1033
2020-04-28,798,173,42,18,2,1033
2020-04-29,798,173,42,18,3,1034
2020-04-30,799,173,43,18,0,1033
2020-01-05,799,173,43,18,0,1033
2020-02-05,799,173,43,18,1,1034
2020-03-05,798,174,43,18,2,1035
2020-04-05,799,174,44,18,3,1038
2020-05-05,799,174,44,18,8,1043
2020-06-05,799,174,45,18,7,1043
2020-07-05,801,174,45,18,7,1045
2020-08-05,802,174,45,18,6,1045
2020-09-05,802,174,45,18,6,1045
2020-10-05,802,173,44,18,8,1045
2020-11-05,802,173,44,18,8,1045
2020-12-05,808,172,44,18,9,1051
2020-05-13,812,174,44,18,3,1051
2020-05-14,814,175,43,18,2,1052
2020-05-15,814,175,43,18,4,1054
2020-05-16,817,176,42,18,2,1055
2020-05-17,818,176,42,18,1,1055
2020-05-18,818,176,42,18,3,1057
2020-05-19,821,175,42,18,1,1057
2020-05-20,821,176,41,18,2,1058
2020-05-21,821,176,41,18,2,1058
2020-05-22,821,176,41,18,2,1058
2020-05-23,821,176,41,18,3,1059
2020-05-24,823,176,41,18,3,1061
2020-05-25,819,176,41,18,2,1056
2020-05-26,819,176,41,18,3,1057
2020-05-27,819,176,41,18,4,1058
2020-05-28,819,176,41,18,4,1058
2020-05-29,819,176,41,18,4,1058
2020-05-30,819,176,41,18,4,1058
2020-05-31,819,176,41,18,4,1058
2020-01-06,819,176,41,18,4,1058
2020-02-06,821,176,41,18,3,1059
2020-03-06,822,176,41,18,2,1059
2020-04-06,823,176,43,18,0,1060
2020-05-06,823,178,42,17,0,1060
2020-06-06,823,179,42,17,0,1061
2020-07-06,823,180,42,17,0,1062
2020-08-06,824,179,42,17,0,1062
2020-09-06,824,179,42,17,0,1062
2020-10-06,824,179,42,17,0,1062
2020-11-06,825,179,42,17,0,1063
2020-12-06,825,179,42,17,1,1064
2020-06-13,825,179,42,17,2,1065
2020-06-14,825,180,42,17,1,1065
2020-06-15,825,180,42,17,1,1065
2020-06-16,826,180,42,17,0,1065
2020-06-17,827,180,42,17,0,1066
2020-06-18,827,180,42,17,0,1066
2020-06-19,827,180,42,17,0,1066
2020-06-20,827,180,42,17,0,1066
2020-06-21,827,181,41,17,0,1066
2020-06-22,827,181,41,17,0,1066
2020-06-23,827,181,41,17,0,1066
2020-06-24,827,181,41,17,0,1066
2020-06-25,827,181,41,17,0,1066
2020-06-26,828,181,41,17,0,1067
2020-06-27,828,181,41,17,0,1067
2020-06-28,829,180,41,17,0,1067
2020-06-29,829,180,41,17,0,1067
2020-06-30,829,180,41,17,0,1067
2020-01-07,829,180,41,17,0,1067
2020-02-07,829,180,41,17,0,1067
2020-03-07,829,180,41,17,0,1067
2020-04-07,829,180,41,17,0,1067
2020-05-07,829,180,41,17,0,1067
2020-06-07,829,180,41,17,0,1067
2020-07-07,830,179,41,18,0,1068
2020-08-07,830,179,41,18,0,1068
2020-09-07,830,179,41,18,0,1068
2020-10-07,830,179,41,18,0,1068
2020-11-07,832,179,41,18,0,1070
2020-12-07,832,179,41,18,0,1070
2020-07-13,833,179,41,18,0,1071
2020-07-14,833,179,41,18,0,1071
2020-07-15,833,179,41,18,0,1071
2020-07-16,833,179,41,18,0,1071
2020-07-17,833,179,41,18,0,1071
2020-07-18,833,179,41,18,0,1071
2020-07-19,833,179,41,18,0,1071
2020-07-20,834,179,41,18,0,1072
2020-07-21,834,179,41,18,0,1072
2020-07-22,835,179,41,18,0,1073
2020-07-23,836,179,41,18,0,1074
2020-07-24,838,179,41,18,0,1076
2020-07-25,838,180,40,18,0,1076
2020-07-26,838,180,40,18,0,1076
2020-07-27,838,180,40,18,0,1076
2020-07-28,838,180,40,18,0,1076
2020-07-29,838,181,40,20,0,1079
2020-07-30,839,183,40,20,0,1082
2020-07-31,839,183,40,20,0,1082
2020-01-08,839,185,40,20,0,1084
2020-02-08,840,185,40,20,0,1085
2020-03-08,840,185,40,20,0,1085
2020-04-08,840,185,40,20,0,1085
2020-05-08,841,185,40,21,1,1088
2020-06-08,841,185,40,21,1,1088
2020-07-08,842,185,40,21,0,1088
2020-08-08,842,185,40,21,0,1088
2020-09-08,842,185,40,21,0,1088
2020-10-08,843,185,40,21,0,1089
2020-11-08,843,185,40,21,0,1089
2020-12-08,843,185,40,21,0,1089
2020-08-13,843,185,40,21,0,1089
2020-08-14,845,185,40,21,1,1092
2020-08-15,845,185,40,21,0,1091
2020-08-16,845,185,40,21,0,1091
2020-08-17,845,185,40,21,0,1091
2020-08-18,845,185,40,21,0,1091
2020-08-19,846,185,40,21,0,1092
2020-08-20,846,185,40,21,1,1093
2020-08-21,846,186,40,21,1,1094
2020-08-22,849,192,40,21,1,1103
2020-08-23,849,194,40,21,1,1105
