date,Overseas acquired,Locally Acquired—close contact with confirmed case,Locally Acquired—no known contact,Interstate acquired,Under investigation,Total cases
2020-08-24,849,195,40,21,1,1106
2020-08-25,849,195,40,21,1,1106
2020-08-26,850,196,40,21,1,1108
2020-08-27,851,196,40,21,2,1110
2020-08-28,851,196,40,21,5,1113
2020-08-29,851,203,40,21,2,1117
2020-08-30,851,207,40,21,2,1121
2020-08-31,851,208,40,21,2,1122
2020-01-09,851,208,42,21,2,1124
2020-02-09,851,212,42,21,0,1126
2020-03-09,851,212,42,21,2,1128
2020-04-09,851,212,42,21,2,1128
2020-05-09,851,214,42,21,1,1129
2020-06-09,851,217,42,21,0,1131
2020-07-09,851,219,42,21,0,1133
2020-08-09,852,219,42,21,0,1134
2020-09-09,852,228,42,21,0,1143
2020-10-09,852,228,42,21,0,1143
2020-11-09,852,230,42,21,0,1145
2020-12-09,852,233,43,21,0,1149
2020-09-13,852,233,43,21,0,1149
2020-09-14,852,234,42,21,0,1149
2020-09-15,852,234,42,21,0,1149
2020-09-16,852,234,42,21,0,1149
2020-09-17,852,235,42,21,0,1150
2020-09-18,852,235,42,21,0,1150
2020-09-19,852,235,42,21,0,1150
2020-09-20,853,236,42,21,0,1152
2020-09-21,854,236,42,21,0,1153
2020-09-22,854,236,42,21,0,1153
2020-09-23,854,236,42,21,0,1153
2020-09-24,854,236,42,21,0,1153
2020-09-25,854,237,41,21,0,1153
2020-09-26,857,237,41,21,0,1156
2020-09-27,858,237,41,21,0,1157
2020-09-28,858,237,41,21,0,1157
2020-09-29,858,237,41,21,0,1157
2020-09-30,858,237,41,21,0,1157
2020-01-10,858,237,41,21,0,1157
2020-02-10,860,238,41,21,0,1160
2020-03-10,860,238,41,21,0,1160
2020-04-10,860,238,41,21,0,1160
2020-05-10,860,238,41,21,0,1160
2020-06-10,860,238,41,21,0,1160
2020-07-10,860,238,41,21,0,1160
2020-08-10,860,238,41,21,0,1160
2020-09-10,860,238,41,21,0,1160
2020-10-10,861,238,41,21,0,1161
2020-11-10,861,238,41,21,0,1161
2020-12-10,861,238,41,21,0,1161
2020-10-13,861,238,41,21,0,1161
2020-10-14,861,238,41,21,0,1161
2020-10-15,862,238,41,21,0,1162
2020-10-16,864,238,41,21,0,1164
2020-10-17,864,238,41,21,0,1164
2020-10-18,864,238,41,21,0,1164
2020-10-19,864,238,41,21,0,1164
2020-10-20,864,238,41,21,0,1164
2020-10-21,865,238,41,21,0,1165
2020-10-22,865,238,41,21,0,1165
2020-10-23,867,238,41,21,0,1167
2020-10-24,867,238,41,21,0,1167
2020-10-25,867,238,41,21,0,1167
2020-10-26,867,238,41,21,0,1167
2020-10-27,867,238,41,21,0,1167
2020-10-28,867,238,41,21,2,1169
2020-10-29,869,238,41,23,0,1171
2020-10-30,868,238,41,23,0,1170
2020-10-31,869,238,41,23,0,1171
2020-01-11,870,238,41,23,0,1172
2020-02-11,870,238,41,23,0,1172
2020-03-11,873,238,41,23,0,1175
2020-04-11,875,238,41,23,0,1177
2020-05-11,875,238,41,23,0,1177
2020-06-11,875,238,41,23,0,1177
2020-07-11,875,238,41,23,0,1177
2020-08-11,875,238,41,23,0,1177
2020-09-11,875,238,41,23,0,1177
2020-10-11,876,238,41,23,0,1178
2020-11-11,877,238,41,23,0,1179
2020-12-11,880,238,41,23,0,1182
2020-11-13,881,238,41,23,0,1183
2020-11-14,883,238,41,23,0,1185
2020-11-15,883,238,41,23,0,1185
2020-11-16,883,238,41,23,0,1185
2020-11-17,884,238,41,23,0,1186
2020-11-18,884,239,41,23,0,1187
2020-11-19,887,239,41,23,0,1190
2020-11-20,887,239,41,23,0,1190
2020-11-21,889,239,41,23,0,1192
2020-11-22,890,239,41,23,0,1193
2020-11-23,893,239,41,23,0,1196
2020-11-24,894,239,41,23,0,1197
2020-11-25,894,239,41,23,0,1197
2020-11-26,894,239,41,23,0,1197
2020-11-27,895,239,41,23,0,1198
2020-11-28,896,239,41,23,0,1199
2020-11-29,897,240,41,23,0,1201
2020-11-30,897,240,41,23,1,1202
2020-01-12,897,240,41,23,1,1202
2020-02-12,900,240,41,23,1,1205
2020-03-12,901,240,41,23,1,1206
2020-04-12,904,240,41,23,0,1208
2020-05-12,906,240,41,23,0,1210
2020-06-12,908,240,41,23,0,1212
2020-07-12,911,240,41,23,0,1215
2020-08-12,917,240,41,23,0,1221
2020-09-12,917,240,41,23,0,1221
2020-10-12,920,240,41,23,0,1224
2020-11-12,921,240,41,23,0,1225
2020-12-12,922,240,41,23,0,1226
2020-12-13,922,240,41,23,0,1226
2020-12-14,923,240,41,23,0,1227
2020-12-15,924,240,41,23,0,1228
2020-12-16,927,238,41,23,0,1229
2020-12-17,928,238,41,23,0,1230
2020-12-18,930,239,41,23,0,1233
2020-12-19,930,238,41,23,0,1232
2020-12-20,932,238,41,23,0,1234
2020-12-21,933,238,41,23,0,1235
2020-12-22,933,238,41,23,0,1235
2020-12-23,934,238,41,23,0,1236
2020-12-24,935,239,41,23,0,1238
2020-12-25,937,239,41,23,0,1240
2020-12-26,938,239,41,23,0,1241
2020-12-27,938,239,41,23,0,1241
2020-12-28,943,239,41,23,0,1246
2020-12-29,945,239,41,23,0,1248
2020-12-30,947,239,41,23,0,1250
2020-12-31,950,239,41,23,0,1253
2021-01-01,950,239,41,23,0,1253
2021-02-01,952,239,41,23,0,1255
2021-03-01,953,238,41,23,0,1255
2021-04-01,958,238,41,23,0,1260
2021-05-01,960,238,41,23,0,1262
2021-06-01,961,238,41,23,0,1263
2021-07-01,962,238,41,23,1,1265
2021-08-01,971,239,41,23,0,1274
2021-09-01,971,239,41,23,0,1274
2021-10-01,971,239,41,23,0,1274
2021-11-01,975,239,41,23,0,1278
2021-12-01,977,240,41,23,0,1281
2021-01-13,979,240,41,23,0,1283
2021-01-14,981,242,41,23,0,1287
2021-01-15,983,242,41,23,1,1290
2021-01-16,984,242,41,23,1,1291
2021-01-17,986,242,41,23,1,1293
2021-01-18,987,242,41,23,1,1294
2021-01-19,990,242,41,23,1,1297
2021-01-20,992,242,41,23,1,1299
2021-01-21,993,242,41,23,1,1300
2021-01-22,996,242,41,23,1,1303
2021-01-23,997,242,41,23,0,1303
2021-01-24,997,242,41,23,0,1303
2021-01-25,999,242,41,23,0,1305
2021-01-26,999,242,41,23,0,1305
2021-01-27,1000,242,41,23,0,1306
2021-01-28,1001,242,41,23,0,1307
2021-01-29,1003,242,41,23,0,1309
2021-01-30,1003,242,41,23,0,1309
2021-01-31,1004,242,41,23,0,1310
2021-01-02,1004,242,41,23,0,1310
2021-02-02,1005,242,41,23,0,1311
2021-03-02,1005,242,41,23,0,1311
2021-04-02,1005,242,41,23,0,1311
2021-05-02,1003,242,41,23,0,1309
2021-06-02,1004,243,41,23,0,1311
2021-07-02,1005,243,41,23,0,1312
2021-08-02,1007,243,41,23,0,1314
2021-09-02,1008,243,41,23,0,1315
2021-10-02,1009,243,41,23,0,1316
2021-11-02,1010,243,41,23,0,1317
2021-12-02,1011,243,41,23,0,1318
2021-02-13,1013,243,41,23,0,1320
2021-02-14,1013,243,41,23,0,1320
2021-02-15,1013,243,41,23,0,1320
2021-02-16,1013,243,41,23,0,1320
2021-02-17,1013,243,41,23,0,1320
2021-02-18,1013,243,41,23,0,1320
2021-02-19,1014,243,41,23,0,1321
2021-02-20,1014,243,41,23,0,1321
2021-02-21,1014,243,41,23,0,1321
2021-02-22,1016,243,41,23,0,1323
2021-02-23,1016,243,41,23,0,1323
2021-02-24,1016,243,41,23,0,1323
2021-02-25,1017,243,41,23,0,1324
2021-02-26,1021,243,41,23,0,1328
2021-02-27,1022,243,41,23,0,1329
2021-02-28,1022,243,41,23,0,1329
2021-01-03,1024,243,41,23,0,1331
2021-02-03,1028,243,41,23,0,1335
2021-03-03,1028,243,41,23,0,1335
2021-04-03,1035,243,41,23,0,1342
2021-05-03,1037,243,41,23,0,1344
2021-06-03,1041,243,41,23,0,1348
2021-07-03,1044,243,41,23,0,1351
2021-08-03,1049,243,41,23,0,1356
2021-09-03,1055,243,41,23,0,1362
2021-10-03,1061,243,41,23,0,1368
2021-11-03,1066,243,41,23,0,1373
2021-12-03,1068,243,41,23,0,1375
2021-03-13,1071,244,41,23,0,1379
2021-03-14,1072,244,41,23,0,1380
2021-03-15,1078,244,41,23,0,1386
2021-03-16,1079,245,41,23,0,1388
2021-03-17,1085,245,41,23,0,1394
2021-03-18,1093,245,41,23,0,1402
2021-03-19,1102,245,41,23,0,1411
2021-03-20,1106,245,41,23,0,1415
2021-03-21,1108,245,41,23,0,1417
2021-03-22,1112,245,41,23,0,1421
2021-03-23,1113,245,41,23,0,1422
2021-03-24,1117,245,41,23,0,1426
2021-03-25,1120,245,41,23,0,1429
2021-03-26,1127,245,42,23,0,1437
2021-03-27,1132,246,42,23,0,1443
2021-03-28,1134,246,42,23,1,1446
2021-03-29,1140,248,44,23,1,1456
2021-03-30,1142,254,44,23,3,1466
2021-03-31,1142,257,44,23,1,1467
